"Security","Tablename"
"piadmins: A(r,w)","PIAFLINK"
"piadmins: A(r,w)","PIARCADMIN"
"piadmins: A(r,w)","PIARCDATA"
"piadmins: A(r,w)","PIAUDIT"
"piadmins: A(r,w)","PIBACKUP"
"piadmins: A(r,w) | PI Users: A(r) | PIWorld: A(r)","PIBatch"
"piadmin: A(r,w) | piadmins: A(r,w) | PIWorld: A(r)","PIBATCHLEGACY"
"piadmins: A(r,w) | PI Users: A(r) | PIWorld: A(r)","PICampaign"
"piadmins: A(r,w) | PI Users: A(r) | PI Web Apps: A(r) | PIWorld: A(r)","PIDBSEC"
"piadmins: A(r,w) | PI Users: A(r) | PI Points&Analysis Creator: A(r,w) | PIWorld: A(r)","PIDS"
"piadmins: A(r,w) | PI Users: A(r) | PIWorld: A(r)","PIHeadingSets"
"piadmins: A(r,w) | PI Web Apps: A(r)","PIMAPPING"
"piadmins: A(r,w) | PI Users: A(r) | PIWorld: A(r)","PIModules"
"piadmins: A(r,w) | PI Users: A(r,w) | PIWorld: A(r,w)","PIMSGSS"
"piadmins: A(r,w) | PI Buffers: A(r,w) | PI Interfaces: A(r) | PI Users: A(r) | PI Points&Analysis Creator: A(r,w) | PI Web Apps: A(r) | PIWorld: A(r)","PIPOINT"
"piadmins: A(r,w)","PIReplication"
"piadmins: A(r,w) | PI Users: A(r) | PIWorld: A(r)","PITransferRecords"
"piadmins: A(r,w)","PITRUST"
"piadmins: A(r,w)","PITUNING"
"piadmins: A(r,w) | PI Users: A(r) | PI Web Apps: A(r) | PIWorld: A(r)","PIUSER"
