"Name","ReadOnlyFlags"
"piadmin","IsEnabled; CanDelete"
"PIWorld","AllowMappings; AllowTrusts; CanDelete; AllowExplicitLogin"
"PIUserIncompatible","IsEnabled; AllowMappings; AllowTrusts; CanDelete; AllowExplicitLogin"
"PIGroupIncompatible","IsEnabled; AllowMappings; AllowTrusts; CanDelete; AllowExplicitLogin"
"piadmins","CanDelete; AllowExplicitLogin"
"piusers","CanDelete; AllowExplicitLogin"
"PI Buffers","AllowExplicitLogin"
"PI Interfaces","AllowExplicitLogin"
"PI Users","AllowExplicitLogin"
"PI Points&Analysis Creator","AllowExplicitLogin"
"PI Web Apps","AllowExplicitLogin"
